Proximity to waterfront and downtown Seattle. Room was comfortable and service was good. You can walk to Space needle from this location. Ask for a waterfront facing room. Standard breakfast and internet.	4.0
Clean, shopping near by, very pleasant staff, would stay here again	4.0
Everything about our stay was great. Traveling with 2 young children can be challenging but we felt welcome and comfortable at this hotel. The rooms were small but nice, the pool was fun for the kids and we were able to walk to the Pier and several restaurants. Overall, it was a great experience.	5.0
Its well worth what you pay. The pool is the hugest I have seen at a hotel! The staff is polite and friendly. Some kinda shortage of housekeepers and waited two hours on checking into a reserved room. Once there it was good we booked a double with a kitchenette. Spacious and convienient. Will be returning.	4.0
I have stayed at this Hilton Garden Inn a few times. It has a very convenient location to the Raritan Center and many restaurant options. It is always clean and the staff is excellent. The hot tub is really hot.	5.0
The living room area was cramped and the cable wasn't that great but other than that, for the price the stay was good.	5.0
If you are on business or just passing through, GM Sam Patel runs a very efficient small hotel. Great staff and exceptional clean and comfy rooms. nice bar for a great Happy Hour with beer and wine specials. Nothing too much trouble for the staff, highly recommend this hotel	5.0
Since the renovation at Old Colonial Motel this is the Best Motel on the Beach. We bring our Yellow Lab every year to this pet friendly motel. The king size bed was so comfy I slept like a baby. The staff from Jamaica have the perfect attitudes of 'Maine, the way Life is meant to be'. Thank you all for... More	5.0
The hotel I stayed is so-called a 3-star hotel, here was no hot water in my room and I couldn't take shower. Also the A/C in my room didn't work well either, and it cannot give me a comfortable temperature. Then I asked for additional blankets, but they said all were gone. Given such a bad situation, they said they... More	1.0
Regular room--smelled a touch of room freshener. Clean secure, good deal, great location for downtown. Great restaurant across street. Easy to get to commuter train for dwntwn LA (45 minutes).	4.0
Counter staff tried to be helpful, however my problem needed the manager's attention. He was not on site, but could be reached by phone, but refused to talk with me. The lobby smelled like smoke and I wanted to cancel my reservation., which required his ok. Refused to do that or talk with me about my concerns. Consider this motel... More	1.0
I took my significant other to Springhill Suites for a weekend of relaxation for his birthday and I was very disappointed. When we decided to lay down there was a blood stain on 2 different sheets. We also did not use the shower because it was a grey film covering the bottom of the bathtub. I also think there was a laundry room next to us due to all of the noise and banging early in the morning. Overall, the cleanliness of the room was a problem, but the front desk staff was very friendly!! oh and I could've done without the breakfast!!	1.0
The room had a very comfortable bed and a nice rain shower. The room was the perfect size and not too cramped. The fitness center was very nice. It had a lot of hand weights which is rare for a hotel gym. The food/drinks from the restaurant were great. The hotel overall is very clean and very convenient to shopping... More	5.0
Bad: No soap available, just shower gel. No hot water for three days. Good: Super room 10 on third floor. Loved the squishy soft duvet. Excellent staff tried very hard to help us with many things. Even had help signing up to Uber for the first time! Made good use of the pool.	5.0
Bad: Street noise. Good: Decor, table games, dining	4.0
We had to be up in the area Buffalo/Niagara Falls for a new business venture and we didn't want to spend a fortune so we chose this property. From the front desk to the breakfast and most comfortable bed, our stay there was exceptional. I would totally recommend to anyone looking for a great place to stay!!	5.0
Staff was very helpful and courteous.	5.0
Bad: Room smelled, mattress was thin and hard. Clerk changed my rate to higher price when we arrived saying we got wrong rate. Charged more than was quoted on booking. Gave us a map and I guess they get a lot of complaints because it says FYI hotel built on 1989. Bring your own toiletries. Very little lighting in room and no electric plugs. Everything was plugged into an extension cord. Good: Location and parking.	2.0
Somehow my booking.com reservation have not reached the hotel so had to wait about half an hour while it was submitted again. Room spacious and clean, heater efficient but pretty noisy, noise from corridor is also thereService could be better - at 0130 at night got a phone call from night manager to immediately re-park the car (evening manager allowed the parking at particular slot). It was outrageousWifi was great and coffee available. For very reasonable price and 1 night stay you can't wish for better	4.0
Horrible service. Run down. Over-priced. Even the shower curtain was the wrong width (too narrow) for the shower. Sink clogged. Stains on furniture. Just gross. We stayed there only because our wedding reception was next door. Never again. So very disappointed. Don't let the lobby fool you. The only positive thing is the location.	1.0
The facilities and staff made our wedding weekend a success! Rooms were great! Refrigerators a blessing. Breakfast very good. Staff very accommodating and service driven. Vallets were outstanding - so gracious and so efficient! Meeting room met our needs. Front desk staff outstanding too! This team of employees works well together to deliver great service - when vallet parking became... More	5.0
Bad: Had some trouble regulating the water temperature in the shower. Good: The use of space was excellent and the room and the bed very comfortable.	5.0
This hotel is in a beautiful location. Staff were very friendly and helpful, especially Eli at the front desk. Rooms were spacious qns clean with balcony looking over beach and ocean. Will definitely be booking there on my next trip to virginia beach.	4.0
The lady who owns the place was very nice, the room we had was great, and we enjoyed our stay. It was cold and all of the individual rooms are controlled by the office, so individual climate control would have been nice, but it's an older, well-maintained building and I know that would be expensive. But if I am cold,... More	4.0
I had a meeting on Wednesday and decided to drive to Gloucester, VA on Tuesday and leave on Thursday. I chose to stay at the Hampton Inn because of my very pleasant experience when I called the hotel directly. This Hampton Inn is a best...More	5.0
Stayed one night. Decent parking area but super close to the highway. You would think that the staff would put their better members - choice members - rooms on the back side of the hotel away from the highway noise. Carpet was worn, no outlets on side table lamps so pulling out the end table showed LOTS of dirt/dust on... More	3.0
This hotel was fine, as airport inns go, but not great. The staff was very friendly, and the shuttle driver was more accommodating than most would have been, so I'd give the staff all five stars. The room was clean and comfortable I was able to keep it pretty cool in there, which is always nice. However, the plumbing... More	3.0
Floors in lobby need to be cleaned and waxed no AC in the elevator or hallways transient lady asked me for money in the lobby!	3.0
Traffic in Clearwater was frenetic getting here, but when we turn onto the street it was like a peaceful oasis. Location is fabulous. It's a quick walk to the action but lovely and serene. Room was bright and came as advertised. Check in was quick and our room was ready early which was a treat. Everyone was friendly and helpful.... More	5.0
